URL;ID;PRICE;OLDPRICE;BRAND;DESC;AVAIL;CAT;NAME;IMAGE;ATTRS COLOR;SIZE
https://guthastore.it/products/jordan-3-chicago-usava?variant=33209907839108;33209907839108;259.00;;;;1;;43;;;43
https://guthastore.it/products/new-balance-ml850ysb;4788445675652;;;NEW BALANCE;<p>Un classico New Balance del '96 in versione reloaded, per questa edizione Retro Bring back delle 850. Tomaia in pelle, suede e mesh, con accenti riflettenti, ricamo a contrasto sul tallone ed etichetta in gomma applicata sulla morbida linguetta in spugna. Intersuola con tecnologia ABZORB e supporto ROLLBAR per la massima stabilità.</p>;;Scarpe;New Balance ML850YSB;https://cdn.shopify.com/s/files/1/0362/4560/2436/products/n-b_ml_850_ysb-1.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/new-balance-ml850ysb-520584.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/new-balance-ml850ysb-955876.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/new-balance-ml850ysb-744342.jpg;;Taglia
https://guthastore.it/products/new-balance-ml850ysb?variant=33209910132868;33209910132868;81.90;;;;2;;44 EU;;;44 EU
https://guthastore.it/products/new-balance-ml850ysb?variant=33209910165636;33209910165636;81.90;;;;1;;44.5 EU;;;44.5 EU
https://guthastore.it/products/new-balance-ml850ysb?variant=33209910198404;33209910198404;81.90;;;;0;;45 EU;;;45 EU
https://guthastore.it/products/new-balance-ml850ysb?variant=33209910231172;33209910231172;81.90;;;;0;;40.5 EU;;;40.5 EU
https://guthastore.it/products/new-balance-ml850ysb?variant=33209910263940;33209910263940;81.90;;;;0;;41.5 EU;;;41.5 EU
https://guthastore.it/products/new-balance-ml850ysb?variant=33209910296708;33209910296708;81.90;;;;1;;42 EU;;;42 EU
https://guthastore.it/products/new-balance-ml850ysb?variant=33209910329476;33209910329476;81.90;;;;1;;42.5 EU;;;42.5 EU
https://guthastore.it/products/new-balance-ml850ysb?variant=33209910362244;33209910362244;81.90;;;;2;;43 EU;;;43 EU
